objectid,parentid,filename,title,creator,description,date,subject,location,latitude,longitude,format,type,image_thumb,image_small,object_location,source,identifier,language,rights,rightsstatement,collection
sns_1953_shoot_pr,,sns_1953_shoot_pr.pdf,"Program for Shoot the Works!, 1953",Scotch'n'Soda Theatre,,1953,Program,,,,application/pdf,Text,objects/thumbs/sns_1953_shoot_pr_th.jpg,objects/small/sns_1953_shoot_pr_sm.jpg,/objects/sns_1953_shoot_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1954_one_pr,,sns_1954_one_pr.pdf,"Program for One in a Million, 1954",Scotch'n'Soda Theatre,,1954,Program,,,,application/pdf,Text,objects/thumbs/sns_1954_one_pr_th.jpg,objects/small/sns_1954_one_pr_sm.jpg,/objects/sns_1954_one_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1955_adults_pr,,sns_1955_adults_pr.pdf,"Program for Adults Only, 1955",Scotch'n'Soda Theatre,,1955,Program,,,,application/pdf,Text,objects/thumbs/sns_1955_adults_pr_th.jpg,objects/small/sns_1955_adults_pr_sm.jpg,/objects/sns_1955_adults_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1956_head_pr,,sns_1956_head_pr.pdf,"Program for Head Over Heels, 1956",Scotch'n'Soda Theatre,,1956,Program,,,,application/pdf,Text,objects/thumbs/sns_1956_head_pr_th.jpg,objects/small/sns_1956_head_pr_sm.jpg,/objects/sns_1956_head_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1957_where_pr,,sns_1957_where_pr.pdf,"Program for Where Do We Go From Here?, 1957",Scotch'n'Soda Theatre,,1957,Program,,,,application/pdf,Text,objects/thumbs/sns_1957_where_pr_th.jpg,objects/small/sns_1957_where_pr_sm.jpg,/objects/sns_1957_where_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1958_harmony_pr,,sns_1958_harmony_pr.pdf,"Program for Harmony, 1958",Scotch'n'Soda Theatre,,1958,Program,,,,application/pdf,Text,objects/thumbs/sns_1958_harmony_pr_th.jpg,objects/small/sns_1958_harmony_pr_sm.jpg,/objects/sns_1958_harmony_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1958_harmony_nc,,sns_1958_harmony_nc.pdf,"Newsclipping for Harmony, 1958",Scotch'n'Soda Theatre,,1958,Newsclipping,,,,application/pdf,Text,objects/thumbs/sns_1958_harmony_nc_th.jpg,objects/small/sns_1958_harmony_nc_sm.jpg,/objects/sns_1958_harmony_nc.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1959_set_pr,,sns_1959_set_pr.pdf,"Program for Set 'Em Up Again!, 1959",Scotch'n'Soda Theatre,,1959,Program,,,,application/pdf,Text,objects/thumbs/sns_1959_set_pr_th.jpg,objects/small/sns_1959_set_pr_sm.jpg,/objects/sns_1959_set_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1959_set_tx,,sns_1959_set_tx.pdf,"Ticket for Set 'Em Up Again!, 1959",Scotch'n'Soda Theatre,,1959,Ticket,,,,application/pdf,Text,objects/thumbs/sns_1959_set_tx_th.jpg,objects/small/sns_1959_set_tx_sm.jpg,/objects/sns_1959_set_tx.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1960_rocks_hb,,sns_1960_rocks_hb.pdf,"Handbill for On the Rocks, 1960",Scotch'n'Soda Theatre,,1960,Handbill,,,,application/pdf,Text,objects/thumbs/sns_1960_rocks_hb_th.jpg,objects/small/sns_1960_rocks_hb_sm.jpg,/objects/sns_1960_rocks_hb.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
